protein,database,accession,name,interpro,interpro_name,start,end,evalue
DopR2_bmori,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,43,444,
DopR2_bmori,GENE3D,G3DSA:1.20.1070.10,,,,67,443,4.8e-86
DopR2_bmori,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,86,411,1.8e-68
DopR2_bmori,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,66,431,
DopR2_bmori,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,80,426,4.8e-07
DopR2_dmelanogaster,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,361,802,
DopR2_dmelanogaster,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,392,787,1.8e-69
DopR2_dmelanogaster,GENE3D,G3DSA:1.20.1070.10,,,,685,805,2.1e-29
DopR2_dmelanogaster,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,386,802,3.8e-08
DopR2_dmelanogaster,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,350,804,
DopR2_dmelanogaster,GENE3D,G3DSA:1.20.1070.10,,,,369,631,1.2e-59
DopR2_msexta,GENE3D,G3DSA:1.20.1070.10,,,,63,440,3.6e-86
DopR2_msexta,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,40,441,
DopR2_msexta,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,62,428,
DopR2_msexta,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,77,423,5.3e-07
DopR2_msexta,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,83,408,1.9e-68
DopR2_tcastaneum,GENE3D,G3DSA:1.20.1070.10,,,,81,311,2.9e-55
DopR2_tcastaneum,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,88,477,7.8e-08
DopR2_tcastaneum,GENE3D,G3DSA:1.20.1070.10,,,,361,481,5.6e-30
DopR2_tcastaneum,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,65,477,
DopR2_tcastaneum,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,46,478,
DopR2_tcastaneum,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,94,462,6e-67
DopR_1_acalifornica,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,2,410,
DopR_1_acalifornica,GENE3D,G3DSA:1.20.1070.10,,,,1,159,2.3e-21
DopR_1_acalifornica,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,1,404,
DopR_1_acalifornica,GENE3D,G3DSA:1.20.1070.10,,,,268,441,2.4e-18
DopR_1_acalifornica,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,2,391,1.9e-27
DopR_1_adigitifera,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,12,204,
DopR_1_adigitifera,GENE3D,G3DSA:1.20.1070.10,,,,3,206,4e-29
DopR_1_adigitifera,PANTHER,PTHR24246,OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR,,,12,203,
DopR_1_adigitifera,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,15,188,6.2e-11
DopR_1_cgigas,GENE3D,G3DSA:1.20.1070.10,,,,712,859,2.4e-23
DopR_1_cgigas,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,55,857,
DopR_1_cgigas,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,756,840,1.1e-11
DopR_1_cgigas,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,76,262,4.6e-43
DopR_1_cgigas,GENE3D,G3DSA:1.20.1070.10,,,,61,314,1.2e-49
DopR_1_cgigas,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,756,863,
DopR_1_cgigas,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,54,257,
DopR_1_hvulgaris,GENE3D,G3DSA:1.20.1070.10,,,,3,298,2.4e-51
DopR_1_hvulgaris,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,15,290,
DopR_1_hvulgaris,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,27,277,0.0019
DopR_1_hvulgaris,PANTHER,PTHR24246,OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR,,,7,304,
DopR_1_hvulgaris,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,33,266,2.6e-29
DopR_1_nvectensis,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,16,293,
DopR_1_nvectensis,GENE3D,G3DSA:1.20.1070.10,,,,22,286,4.9e-55
DopR_1_nvectensis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,159,267,1.7e-14
DopR_1_nvectensis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,37,157,6.1e-21
DopR_1_nvectensis,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,31,282,0.00013
DopR_1_nvectensis,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,12,197,
DopR_1_obimaculoides,GENE3D,G3DSA:1.20.1070.10,,,,32,374,8e-88
DopR_1_obimaculoides,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,55,266,
DopR_1_obimaculoides,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,86,337,1.9e-66
DopR_1_obimaculoides,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,56,360,
DopR_1_obimaculoides,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,80,352,2.7e-05
DopR_2_acalifornica,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,66,493,
DopR_2_acalifornica,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,85,487,
DopR_2_acalifornica,GENE3D,G3DSA:1.20.1070.10,,,,86,484,2.8e-85
DopR_2_acalifornica,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,104,484,2.1e-06
DopR_2_acalifornica,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,110,469,1.7e-70
DopR_2_adigitifera,GENE3D,G3DSA:1.20.1070.10,,,,1,313,2.3e-69
DopR_2_adigitifera,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,13,294,0.00015
DopR_2_adigitifera,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,19,279,4.1e-47
DopR_2_adigitifera,PANTHER,PTHR24249,HISTAMINE RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,IPR050569,TAAR,7,297,
DopR_2_adigitifera,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,3,306,
DopR_2_cgigas,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,45,522,
DopR_2_cgigas,GENE3D,G3DSA:1.20.1070.10,,,,44,311,1.5e-52
DopR_2_cgigas,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,68,504,
DopR_2_cgigas,GENE3D,G3DSA:1.20.1070.10,,,,365,533,6.7e-25
DopR_2_cgigas,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,75,501,0.00096
DopR_2_cgigas,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,81,486,2.1e-61
DopR_2_hvulgaris,PANTHER,PTHR24246,OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR,,,2,200,
DopR_2_hvulgaris,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,1,201,
DopR_2_hvulgaris,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,1,183,7.8e-20
DopR_2_hvulgaris,GENE3D,G3DSA:1.20.1070.10,,,,1,204,3.3e-40
DopR_2_nvectensis,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,38,300,7.9e-05
DopR_2_nvectensis,GENE3D,G3DSA:1.20.1070.10,,,,31,303,5.6e-60
DopR_2_nvectensis,PANTHER,PTHR24247,5-HYDROXYTRYPTAMINE RECEPTOR,,,27,301,
DopR_2_nvectensis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,167,285,2.1e-16
DopR_2_nvectensis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,44,165,1e-23
DopR_2_nvectensis,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,16,318,
DopR_2_obimaculoides,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,22,316,
DopR_2_obimaculoides,GENE3D,G3DSA:1.20.1070.10,,,,22,316,1.1e-19
DopR_2_obimaculoides,PANTHER,PTHR24247,5-HYDROXYTRYPTAMINE RECEPTOR,,,28,308,
DopR_2_obimaculoides,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,44,285,3.1e-09
DopR_3_adigitifera,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,19,209,
DopR_3_adigitifera,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,40,274,1e-42
DopR_3_adigitifera,GENE3D,G3DSA:1.20.1070.10,,,,17,301,5.1e-66
DopR_3_adigitifera,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,21,294,
DopR_3_adigitifera,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,34,289,4e-06
DopR_3_cgigas,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,64,343,3.9e-06
DopR_3_cgigas,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,37,363,
DopR_3_cgigas,GENE3D,G3DSA:1.20.1070.10,,,,38,366,2.2e-87
DopR_3_cgigas,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,70,328,2.8e-66
DopR_3_cgigas,PANTHER,PTHR24248,ADRENERGIC RECEPTOR-RELATED G-PROTEIN COUPLED RECEPTOR,,,37,254,
DopR_3_hvulgaris,GENE3D,G3DSA:1.20.1070.10,,,,1,201,2.5e-38
DopR_3_hvulgaris,PANTHER,PTHR24246,OLFACTORY RECEPTOR AND ADENOSINE RECEPTOR,,,7,196,
DopR_3_hvulgaris,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,4,199,
DopR_3_hvulgaris,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,5,181,1.6e-18
DopR_3_nvectensis,SMART,SM01381,7TM_GPCR_Srsx_2,IPR000276,GPCR_Rhodpsn,38,300,7.9e-05
DopR_3_nvectensis,GENE3D,G3DSA:1.20.1070.10,,,,31,303,5.6e-60
DopR_3_nvectensis,PANTHER,PTHR24247,5-HYDROXYTRYPTAMINE RECEPTOR,,,27,301,
DopR_3_nvectensis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,167,285,2.1e-16
DopR_3_nvectensis,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,44,165,1e-23
DopR_3_nvectensis,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,16,318,
DopR_3_obimaculoides,SUPERFAMILY,SSF81321,Family A G protein-coupled receptor-like,,,22,316,
DopR_3_obimaculoides,GENE3D,G3DSA:1.20.1070.10,,,,22,316,1.1e-19
DopR_3_obimaculoides,PANTHER,PTHR24247,5-HYDROXYTRYPTAMINE RECEPTOR,,,28,308,
DopR_3_obimaculoides,PFAM,PF00001,7tm_1,IPR000276,GPCR_Rhodpsn,44,285,3.1e-09
Gr5a_dmelanogaster,GENE3D,G3DSA:3.40.50.1820,alpha/beta hydrolase,IPR029058,AB_hydrolase_fold,45,337,1.6e-84
Gr5a_dmelanogaster,SUPERFAMILY,SSF53474,alpha/beta-Hydrolases,IPR029058,AB_hydrolase_fold,63,336,
Gr5a_dmelanogaster,PANTHER,PTHR11610,LIPASE,IPR000734,TAG_lipase,58,336,
Gr5a_dmelanogaster,PFAM,PF00151,Lipase,IPR013818,Lipase,61,335,4.4e-52
Gr64a_dmelanogaster,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,46,446,
Gr64a_dmelanogaster,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,19,450,0.0
Gr64b_dmelanogaster,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,1,391,
Gr64b_dmelanogaster,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,3,399,0.0
Gr64c_dmelanogaster,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,8,401,
Gr64c_dmelanogaster,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,2,407,0.0
Gr64d_dmelanogaster,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,3,329,
Gr64d_dmelanogaster,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,1,340,0.0
Gr64e_dmelanogaster,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,60,452,
Gr64e_dmelanogaster,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,58,457,0.0
Gr64f_dmelanogaster,PANTHER,PTHR21421,GUSTATORY RECEPTOR,,,51,458,
Gr64f_dmelanogaster,PFAM,PF06151,Trehalose_recp,IPR009318,Gustatory_rcpt,66,463,0.0
TAS1R1_drerio,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,21,466,
TAS1R1_drerio,GENE3D,G3DSA:3.40.50.2300,,,,26,436,7.2e-117
TAS1R1_drerio,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,66,436,5.6e-57
TAS1R1_drerio,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,474,527,2.8e-11
TAS1R1_drerio,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,542,793,1.2e-49
TAS1R1_drerio,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,22,810,
TAS1R1_drerio,GENE3D,G3DSA:3.40.50.2300,,,,187,458,7.2e-117
TAS1R1_drerio,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,473,550,2.9e-17
TAS1R1_ggallus,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,477,554,5.8e-18
TAS1R1_ggallus,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,478,531,4.8e-11
TAS1R1_ggallus,PFAM,PF01094,ANF_receptor,IPR001828,ANF_lig-bd_rcpt,75,442,2e-55
TAS1R1_ggallus,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,39,815,
TAS1R1_ggallus,GENE3D,G3DSA:3.40.50.2300,,,,199,465,1.1e-108
TAS1R1_ggallus,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,35,472,
TAS1R1_ggallus,GENE3D,G3DSA:3.40.50.2300,,,,40,444,1.1e-108
TAS1R1_ggallus,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,546,797,6.1e-43
TAS1R1_hsapiens,PFAM,PF00003,7tm_3,IPR017978,GPCR_3_C,562,811,2.6e-52
TAS1R1_hsapiens,PFAM,PF07562,NCD3G,IPR011500,GPCR_3_9-Cys_dom,492,545,3.9e-12
TAS1R1_hsapiens,PANTHER,PTHR24061,CALCIUM-SENSING RECEPTOR-RELATED,IPR000068,GPCR_3_Ca_sens_rcpt-rel,31,829,
TAS1R1_hsapiens,SUPERFAMILY,SSF53822,Periplasmic binding protein-like I,IPR028082,Peripla_BP_I,32,487,
TAS1R1_hsapiens,GENE3D,G3DSA:3.40.50.2300,,,,36,458,5e-112
TAS1R1_hsapiens,GENE3D,G3DSA:2.10.50.30,"GPCR, family 3, nine cysteines domain",IPR038550,GPCR_3_9-Cys_sf,491,567,6.3e-17
