cand_id	species	accession	class	top1_label	top1_family	top1_bitscore	top1_evalue	delta_top1_other_family	best_drd_family_bitscore	best_nondrd_family_bitscore	delta_drd_minus_nondrd	forward_best_anchor	forward_evalue	forward_bitscore	forward_pident	stitle
Hvul_XP_047143664.1	Hvul	XP_047143664.1	NOT_DRD:HTR	HUMAN_HTR2A	HTR	124.0	1.36e-34	4.0	120.0	124.0	-4.0	HUMAN_DRD1	3.56e-31	124	25.806	XP_047143664.1 muscarinic acetylcholine receptor M1 [Hydra vulgaris]
Hvul_XP_047143663.1	Hvul	XP_047143663.1	NOT_DRD:HTR	HUMAN_HTR2A	HTR	124.0	1.36e-34	4.0	120.0	124.0	-4.0	HUMAN_DRD1	3.56e-31	124	25.806	XP_047143663.1 muscarinic acetylcholine receptor M1 [Hydra vulgaris]
Hvul_XP_047143662.1	Hvul	XP_047143662.1	NOT_DRD:HTR	HUMAN_HTR2A	HTR	124.0	1.36e-34	4.0	120.0	124.0	-4.0	HUMAN_DRD1	3.56e-31	124	25.806	XP_047143662.1 muscarinic acetylcholine receptor M1 [Hydra vulgaris]
Hvul_XP_047143661.1	Hvul	XP_047143661.1	NOT_DRD:HTR	HUMAN_HTR2A	HTR	124.0	1.36e-34	4.0	120.0	124.0	-4.0	HUMAN_DRD1	3.56e-31	124	25.806	XP_047143661.1 muscarinic acetylcholine receptor M1 [Hydra vulgaris]
Hvul_XP_012554039.1	Hvul	XP_012554039.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	119.0	8.69e-33	1.0	109.0	119.0	-10.0	HUMAN_DRD4	9.02e-24	102	23.333	XP_012554039.1 tyramine receptor Ser-2 [Hydra vulgaris]
Nvec_XP_032231228.1	Nvec	XP_032231228.1	RBH_DRD_weak	HUMAN_DRD1	DRD	183.0	2.7e-56	3.0	183.0	180.0	3.0	HUMAN_DRD1	8.14e-54	185	34.659	XP_032231228.1 octopamine receptor [Nematostella vectensis]
Nvec_XP_032238106.1	Nvec	XP_032238106.1	RBH_DRD_weak	HUMAN_DRD1	DRD	170.0	3.59e-52	1.0	170.0	169.0	1.0	HUMAN_DRD1	9.38e-50	172	36.418	XP_032238106.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_001620703.1	Nvec	XP_001620703.1	RBH_DRD_weak	HUMAN_DRD1	DRD	170.0	3.78e-52	1.0	170.0	169.0	1.0	HUMAN_DRD1	9.68e-50	172	36.418	XP_001620703.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_032223364.1	Nvec	XP_032223364.1	RBH_DRD_weak	HUMAN_DRD1	DRD	164.0	3.76e-50	1.0	164.0	163.0	1.0	HUMAN_DRD1	9.80e-48	167	33.542	XP_032223364.1 octopamine receptor beta-3R [Nematostella vectensis]
Nvec_XP_032223363.1	Nvec	XP_032223363.1	RBH_DRD_weak	HUMAN_DRD1	DRD	164.0	3.76e-50	1.0	164.0	163.0	1.0	HUMAN_DRD1	9.80e-48	167	33.542	XP_032223363.1 octopamine receptor beta-3R [Nematostella vectensis]
Nvec_XP_032231005.1	Nvec	XP_032231005.1	RBH_DRD_weak	DMEL_DOP1R1	inv_DRD	155.0	4.32e-46	1.0	155.0	154.0	1.0	DMEL_DOP1R1	1.25e-42	155	31.492	XP_032231005.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_032231004.1	Nvec	XP_032231004.1	RBH_DRD_weak	DMEL_DOP1R1	inv_DRD	155.0	4.32e-46	1.0	155.0	154.0	1.0	DMEL_DOP1R1	1.25e-42	155	31.492	XP_032231004.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_032220261.1	Nvec	XP_032220261.1	RBH_DRD_weak	HUMAN_DRD1	DRD	150.0	3.65e-44	1.0	150.0	149.0	1.0	HUMAN_DRD3	2.70e-37	139	27.873	XP_032220261.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_032220260.1	Nvec	XP_032220260.1	RBH_DRD_weak	HUMAN_DRD1	DRD	150.0	3.65e-44	1.0	150.0	149.0	1.0	HUMAN_DRD3	2.70e-37	139	27.873	XP_032220260.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_032220259.1	Nvec	XP_032220259.1	RBH_DRD_weak	HUMAN_DRD1	DRD	150.0	3.65e-44	1.0	150.0	149.0	1.0	HUMAN_DRD3	2.70e-37	139	27.873	XP_032220259.1 tyramine receptor 1 [Nematostella vectensis]
Nvec_XP_032220702.1	Nvec	XP_032220702.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	177.0	8.49e-55	22.0	155.0	177.0	-22.0	HUMAN_DRD5	1.57e-45	162	32.558	XP_032220702.1 alpha-1A adrenergic receptor [Nematostella vectensis]
Nvec_XP_032220701.1	Nvec	XP_032220701.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	177.0	8.49e-55	22.0	155.0	177.0	-22.0	HUMAN_DRD5	1.57e-45	162	32.558	XP_032220701.1 alpha-1A adrenergic receptor [Nematostella vectensis]
Nvec_XP_032220700.1	Nvec	XP_032220700.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	177.0	8.49e-55	22.0	155.0	177.0	-22.0	HUMAN_DRD5	1.57e-45	162	32.558	XP_032220700.1 alpha-1A adrenergic receptor [Nematostella vectensis]
Nvec_XP_032220699.1	Nvec	XP_032220699.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	177.0	8.49e-55	22.0	155.0	177.0	-22.0	HUMAN_DRD5	1.57e-45	162	32.558	XP_032220699.1 alpha-1A adrenergic receptor [Nematostella vectensis]
Nvec_XP_032230907.1	Nvec	XP_032230907.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	166.0	8.62e-50	1.0	154.0	166.0	-12.0	HUMAN_DRD3	1.72e-41	151	31.868	XP_032230907.1 dopamine receptor 2 [Nematostella vectensis]
Nvec_XP_032231012.1	Nvec	XP_032231012.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	157.0	3.04e-47	2.0	150.0	157.0	-7.0	DMEL_DOP2R	1.65e-26	112	38.830	XP_032231012.1 probable G-protein coupled receptor No18 [Nematostella vectensis]
Nvec_XP_032231011.1	Nvec	XP_032231011.1	NOT_DRD:ADRA	HUMAN_ADRA1A	ADRA	157.0	3.04e-47	2.0	150.0	157.0	-7.0	DMEL_DOP2R	1.65e-26	112	38.830	XP_032231011.1 probable G-protein coupled receptor No18 [Nematostella vectensis]
Nvec_XP_032227782.1	Nvec	XP_032227782.1	NOT_DRD:HTR	HUMAN_HTR1A	HTR	134.0	6.37e-38	5.0	129.0	134.0	-5.0	HUMAN_DRD2	1.39e-34	135	26.147	XP_032227782.1 5-hydroxytryptamine receptor 1D [Nematostella vectensis]
Nvec_XP_032227781.1	Nvec	XP_032227781.1	NOT_DRD:HTR	HUMAN_HTR1A	HTR	134.0	6.37e-38	5.0	129.0	134.0	-5.0	HUMAN_DRD2	1.39e-34	135	26.147	XP_032227781.1 5-hydroxytryptamine receptor 1D [Nematostella vectensis]
