candidate,nearest_anchor,nearest_anchor_family,nearest_anchor_distance,k3_family_vote,k3_nearest,sister_family_majority,delta_d_next_other_family,final_call
XM_048733013.1__MollCnid_DopR_2_candidate__Nematostella_vectensis,NP_000675.1__ADRB1__Homo_sapiens,ADR,4.0737,ADR,ADR:4.074;TRUE_DRD:4.145;OA:4.163,NA,0.072,NOT_DRD:ADR_low_confidence
XM_032386133.2__MollCnid_DopR_3_candidate__Nematostella_vectensis,NP_000675.1__ADRB1__Homo_sapiens,ADR,4.0737,ADR,ADR:4.074;TRUE_DRD:4.145;OA:4.163,NA,0.072,NOT_DRD:ADR_low_confidence
XM_015923228.1__MollCnid_DopR_1_candidate__Acropora_digitifera,NP_000675.1__ADRB1__Homo_sapiens,ADR,7.5531,ADR,ADR:7.553;TRUE_DRD:7.625;OA:7.642,NA,0.072,NOT_DRD:ADR_low_confidence
XM_065815825.1__MollCnid_DopR_2_candidate__Hydra_vulgaris,NP_000675.1__ADRB1__Homo_sapiens,ADR,5.9097,ADR,ADR:5.910;TRUE_DRD:5.982;OA:5.999,NA,0.072,NOT_DRD:ADR_low_confidence
XM_065815821.1__MollCnid_DopR_3_candidate__Hydra_vulgaris,NP_000675.1__ADRB1__Homo_sapiens,ADR,5.4289,ADR,ADR:5.429;TRUE_DRD:5.501;OA:5.518,NA,0.072,NOT_DRD:ADR_low_confidence
ENSGALT00010060881.1__DRD2_candidate__Gallus_gallus  [VERT_SANITY],NP_000786.1__DRD2__Homo_sapiens,TRUE_DRD,0.3263,TRUE_DRD,TRUE_DRD:0.326;TRUE_DRD:0.332;TRUE_DRD:0.335,TRUE_DRD,3.167,TRUE_DRD
ENST00000362072.8__DRD2_candidate__Homo_sapiens  [VERT_SANITY],NP_000786.1__DRD2__Homo_sapiens,TRUE_DRD,0.0000,TRUE_DRD,TRUE_DRD:0.000;TRUE_DRD:0.053;TRUE_DRD:0.056,TRUE_DRD,3.520,TRUE_DRD
ENSMUST00000075764.8__DRD2_candidate__Mus_musculus  [VERT_SANITY],NP_034207.2__DRD1__Mus_musculus,TRUE_DRD,0.0000,TRUE_DRD,TRUE_DRD:0.000;TRUE_DRD:0.003;TRUE_DRD:0.056,TRUE_DRD,3.528,TRUE_DRD
ENSRNOT00000045944.7__DRD2_candidate__Rattus_norvegicus  [VERT_SANITY],NP_036679.1__DRD2__Rattus_norvegicus,TRUE_DRD,0.0000,TRUE_DRD,TRUE_DRD:0.000;TRUE_DRD:0.003;TRUE_DRD:0.053,TRUE_DRD,3.526,TRUE_DRD
ENSXETT00000025512.5__DRD2_candidate__Xenopus_tropicalis  [VERT_SANITY],NP_000786.1__DRD2__Homo_sapiens,TRUE_DRD,0.3859,TRUE_DRD,TRUE_DRD:0.386;TRUE_DRD:0.392;TRUE_DRD:0.395,TRUE_DRD,3.046,TRUE_DRD
ENSGALT00010029037.1__DRD1_candidate__Gallus_gallus  [VERT_SANITY],NP_000785.1__DRD1__Homo_sapiens,TRUE_DRD,0.2744,TRUE_DRD,TRUE_DRD:0.274;TRUE_DRD:0.980;OA:3.389,TRUE_DRD,3.115,TRUE_DRD
ENSXETT00000030438.3__DRD1_candidate__Xenopus_tropicalis  [VERT_SANITY],NP_000785.1__DRD1__Homo_sapiens,TRUE_DRD,0.2962,TRUE_DRD,TRUE_DRD:0.296;TRUE_DRD:1.002;OA:3.411,TRUE_DRD,3.115,TRUE_DRD
ENST00000393752.3__DRD1_candidate__Homo_sapiens  [VERT_SANITY],NP_000785.1__DRD1__Homo_sapiens,TRUE_DRD,0.0000,TRUE_DRD,TRUE_DRD:0.000;TRUE_DRD:0.983;OA:3.392,TRUE_DRD,3.392,TRUE_DRD
ENSMUST00000021932.6__DRD1_candidate__Mus_musculus  [VERT_SANITY],NP_000785.1__DRD1__Homo_sapiens,TRUE_DRD,0.1238,TRUE_DRD,TRUE_DRD:0.124;TRUE_DRD:1.001;OA:3.411,TRUE_DRD,3.287,TRUE_DRD
ENSRNOT00000030893.5__DRD1_candidate__Rattus_norvegicus  [VERT_SANITY],NP_000785.1__DRD1__Homo_sapiens,TRUE_DRD,0.1334,TRUE_DRD,TRUE_DRD:0.133;TRUE_DRD:1.011;OA:3.420,TRUE_DRD,3.287,TRUE_DRD
